title,link,author,rating,genres
Adrian x Isolde,https://www.goodreads.com/book/show/56651967-king-of-battle-and-blood,Scarlett St. Clair,3.8,"['romance', 'vampires', 'fantasy-romance', 'paranormal', 'adult', 'new-adult']"
Riverside,https://www.goodreads.com/book/show/68485.Swordspoint,Ellen Kushner,3.79,"['lgbt', 'queer', 'romance', 'm-m-romance', 'science-fiction-fantasy']"
The Deep ,https://www.goodreads.com/book/show/42201962-the-deep,Rivers Solomon,3.79,"['science-fiction', 'lgbt', 'novella', 'queer']"
The Lotus Wars,https://www.goodreads.com/book/show/10852343-stormdancer,Jay Kristoff,3.79,"['steampunk', 'young-adult', 'dystopia', 'science-fiction', 'mythology']"
The Historian ,https://www.goodreads.com/book/show/30236962-the-historian,Elizabeth Kostova,3.79,"['historical-fiction', 'horror', 'vampires', 'mystery', 'historical']"
Curse Workers,https://www.goodreads.com/book/show/6087756-white-cat,Holly Black,3.79,"['young-adult', 'urban-fantasy', 'paranormal', 'magic', 'mystery']"
Lore ,https://www.goodreads.com/book/show/53375824-lore,Alexandra Bracken,3.78,"['mythology', 'young-adult', 'greek-mythology', 'retellings', 'young-adult-fantasy']"
Rose Daughter ,https://www.goodreads.com/book/show/8089.Rose_Daughter,Robin McKinley,3.78,"['young-adult', 'fairy-tales', 'romance', 'retellings', 'beauty-and-the-beast']"
The Half Bad Trilogy,https://www.goodreads.com/book/show/18079804-half-bad,Sally Green,3.78,"['young-adult', 'paranormal', 'magic', 'witches', 'urban-fantasy']"
Carve the Mark,https://www.goodreads.com/book/show/30117284-carve-the-mark,Veronica Roth,3.78,"['young-adult', 'science-fiction', 'romance', 'dystopia']"
October Daye,https://www.goodreads.com/book/show/6294549-rosemary-and-rue,Seanan McGuire,3.77,"['urban-fantasy', 'paranormal', 'mystery', 'fae', 'magic']"
Camelot Rising,https://www.goodreads.com/book/show/43568394-the-guinevere-deception,Kiersten White,3.77,"['young-adult', 'retellings', 'young-adult-fantasy', 'romance', 'historical-fiction']"
The Falconer,https://www.goodreads.com/book/show/15791085-the-falconer,Elizabeth May,3.77,"['young-adult', 'steampunk', 'historical-fiction', 'fae', 'historical', 'romance']"
Of Fire and Stars,https://www.goodreads.com/book/show/25164304-of-fire-and-stars,Audrey Coulthurst,3.76,"['lgbt', 'young-adult', 'romance', 'queer', 'lesbian']"
The Dandelion Dynasty,https://www.goodreads.com/book/show/18952341-the-grace-of-kings,Ken Liu,3.76,"['epic-fantasy', 'high-fantasy', 'adult', 'steampunk', 'science-fiction']"
Hundred Kingdoms,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,Alexandra Christo,3.76,"['young-adult', 'romance', 'retellings', 'young-adult-fantasy', 'pirates']"
Wings,https://www.goodreads.com/book/show/5056084-wings,Aprilynne Pike,3.76,"['young-adult', 'romance', 'paranormal', 'fairies', 'fae']"
Passenger,https://www.goodreads.com/book/show/20983362-passenger,Alexandra Bracken,3.76,"['young-adult', 'time-travel', 'historical-fiction', 'romance', 'science-fiction', 'historical']"
Gallant ,https://www.goodreads.com/book/show/58064046-gallant,V.E. Schwab,3.75,"['young-adult', 'horror', 'paranormal', 'gothic', 'mystery']"
Married to Magic,https://www.goodreads.com/book/show/55285911-a-deal-with-the-elf-king,Elise Kova,3.75,"['romance', 'fantasy-romance', 'fae', 'young-adult', 'magic', 'new-adult']"
Gumiho,https://www.goodreads.com/book/show/42133479-wicked-fox,Kat Cho,3.75,"['young-adult', 'romance', 'mythology', 'young-adult-fantasy', 'urban-fantasy', 'paranormal']"
Ravenspire,https://www.goodreads.com/book/show/23299513-the-shadow-queen,C.J. Redwine,3.74,"['young-adult', 'retellings', 'romance', 'fairy-tales', 'magic', 'dragons']"
The Serpent Gates,https://www.goodreads.com/book/show/45046552-the-unspoken-name,A.K. Larkwood,3.74,"['lgbt', 'queer', 'lesbian', 'adult', 'high-fantasy']"
A Land Fit for Heroes,https://www.goodreads.com/book/show/3314369-the-steel-remains,Richard K. Morgan,3.74,"['lgbt', 'dark-fantasy', 'epic-fantasy', 'queer', 'high-fantasy']"
Practical Magic,https://www.goodreads.com/book/show/22896.Practical_Magic,Alice Hoffman,3.74,"['magical-realism', 'romance', 'witches', 'magic', 'paranormal']"
The Twilight Saga,https://www.goodreads.com/book/show/53287484-midnight-sun,Stephenie Meyer,3.73,"['romance', 'young-adult', 'vampires', 'paranormal']"
Before the Coffee Gets Cold,https://www.goodreads.com/book/show/44421460-before-the-coffee-gets-cold,Toshikazu Kawaguchi,3.73,"['magical-realism', 'contemporary', 'time-travel', 'japan', 'japanese-literature']"
Sorcerer Royal,https://www.goodreads.com/book/show/23943137-sorcerer-to-the-crown,Zen Cho,3.73,"['historical-fiction', 'historical', 'magic', 'historical-fantasy', 'romance']"
The Gilded Wolves,https://www.goodreads.com/book/show/39863498-the-gilded-wolves,Roshani Chokshi,3.73,"['young-adult', 'historical-fiction', 'historical', 'young-adult-fantasy', 'lgbt']"
Dark Olympus,https://www.goodreads.com/book/show/54659771-neon-gods,Katee Robert,3.73,"['romance', 'mythology', 'retellings', 'adult', 'greek-mythology']"
Mr. Penumbra's 24-Hour Bookstore,https://www.goodreads.com/book/show/13538873-mr-penumbra-s-24-hour-bookstore,Robin Sloan,3.73,"['mystery', 'books-about-books', 'contemporary', 'adult']"
The Siren ,https://www.goodreads.com/book/show/6618272-the-siren,Kiera Cass,3.71,"['young-adult', 'romance', 'mermaids', 'paranormal']"
Tensorate,https://www.goodreads.com/book/show/33099588-the-black-tides-of-heaven,Neon Yang,3.71,"['lgbt', 'queer', 'novella', 'adult', 'science-fiction-fantasy']"
Rise of the Empress,https://www.goodreads.com/book/show/33958230-forest-of-a-thousand-lanterns,Julie C. Dao,3.71,"['young-adult', 'retellings', 'young-adult-fantasy', 'romance', 'fairy-tales']"
Cinderella Is Dead ,https://www.goodreads.com/book/show/43900612-cinderella-is-dead,Kalynn Bayron,3.71,"['young-adult', 'lgbt', 'romance', 'retellings', 'lesbian', 'queer']"
The Kingdom of Back ,https://www.goodreads.com/book/show/45872054-the-kingdom-of-back,Marie Lu,3.7,"['historical-fiction', 'young-adult', 'historical', 'magical-realism', 'young-adult-fantasy']"
Among Others ,https://www.goodreads.com/book/show/8706185-among-others,Jo Walton,3.7,"['young-adult', 'science-fiction', 'magical-realism', 'books-about-books', 'magic']"
The Bone Witch,https://www.goodreads.com/book/show/30095464-the-bone-witch,Rin Chupeco,3.7,"['young-adult', 'witches', 'paranormal', 'magic']"
The Rest of Us Just Live Here ,https://www.goodreads.com/book/show/22910900-the-rest-of-us-just-live-here,Patrick Ness,3.69,"['young-adult', 'contemporary', 'lgbt', 'paranormal', 'mental-health']"
Wicked Lovely,https://www.goodreads.com/book/show/305234.Wicked_Lovely,Melissa Marr,3.69,"['young-adult', 'romance', 'paranormal', 'urban-fantasy', 'fae', 'fairies']"
The Atlas,https://www.goodreads.com/book/show/50520939-the-atlas-six,Olivie Blake,3.68,"['adult', 'lgbt', 'mystery', 'magic', 'young-adult']"
The Paper Magician,https://www.goodreads.com/book/show/20727654-the-paper-magician,Charlie N. Holmberg,3.68,"['young-adult', 'magic', 'romance', 'historical-fiction', 'historical']"
Mexican Gothic ,https://www.goodreads.com/book/show/53152636-mexican-gothic,Silvia Moreno-Garcia,3.68,"['horror', 'historical-fiction', 'gothic', 'mystery', 'thriller']"
All the Stars and Teeth,https://www.goodreads.com/book/show/38325332-all-the-stars-and-teeth,Adalyn Grace,3.68,"['young-adult', 'pirates', 'young-adult-fantasy', 'romance', 'magic']"
The Book Eaters ,https://www.goodreads.com/book/show/58724745-the-book-eaters,Sunyi Dean,3.67,"['horror', 'lgbt', 'adult', 'books-about-books', 'queer']"
The Beautiful,https://www.goodreads.com/book/show/42265183-the-beautiful,RenĂ©e Ahdieh,3.67,"['young-adult', 'historical-fiction', 'romance', 'vampires', 'paranormal', 'historical']"
Bone Grace,https://www.goodreads.com/book/show/46249012-bone-crier-s-moon,Kathryn Purdie,3.67,"['young-adult', 'romance', 'young-adult-fantasy', 'magic', 'high-fantasy']"
"Girl, Serpent, Thorn ",https://www.goodreads.com/book/show/51182650-girl-serpent-thorn,Melissa Bashardoust,3.67,"['young-adult', 'lgbt', 'lesbian', 'romance', 'retellings', 'queer']"
The Near Witch,https://www.goodreads.com/book/show/6931344-the-near-witch,Victoria Schwab,3.66,"['young-adult', 'paranormal', 'witches', 'romance', 'magic']"
An Enchantment of Ravens ,https://www.goodreads.com/book/show/30969741-an-enchantment-of-ravens,Margaret Rogerson,3.65,"['young-adult', 'romance', 'fae', 'young-adult-fantasy', 'magic']"
Cruel Beauty ,https://www.goodreads.com/book/show/15839984-cruel-beauty,Rosamund Hodge,3.65,"['young-adult', 'romance', 'retellings', 'fairy-tales', 'mythology', 'young-adult-fantasy']"
Fractured Fables,https://www.goodreads.com/book/show/56179356-a-spindle-splintered,Alix E. Harrow,3.64,"['retellings', 'novella', 'lgbt', 'fairy-tales', 'adult']"
Incarceron,https://www.goodreads.com/book/show/332775.Incarceron,Catherine Fisher,3.64,"['young-adult', 'dystopia', 'science-fiction', 'steampunk', 'adventure']"
The Crescent Moon Kingdoms,https://www.goodreads.com/book/show/11487807-throne-of-the-crescent-moon,Saladin Ahmed,3.64,"['epic-fantasy', 'science-fiction-fantasy', 'adventure', 'high-fantasy', 'adult']"
Wilderwood,https://www.goodreads.com/book/show/53418394-for-the-wolf,Hannah F. Whitten,3.64,"['romance', 'retellings', 'young-adult', 'magic', 'adult']"
Realm Breaker,https://www.goodreads.com/book/show/54513688-realm-breaker,Victoria Aveyard,3.63,"['young-adult', 'young-adult-fantasy', 'high-fantasy', 'magic', 'adventure']"
Crimson Bound ,https://www.goodreads.com/book/show/21570318-crimson-bound,Rosamund Hodge,3.63,"['young-adult', 'retellings', 'romance', 'fairy-tales', 'magic', 'young-adult-fantasy']"
Magic for Liars ,https://www.goodreads.com/book/show/34594037-magic-for-liars,Sarah Gailey,3.63,"['mystery', 'urban-fantasy', 'magic', 'adult']"
Ash ,https://www.goodreads.com/book/show/6472451-ash,Malinda Lo,3.63,"['young-adult', 'lgbt', 'romance', 'queer', 'retellings']"
Matched,https://www.goodreads.com/book/show/7735333-matched,Ally Condie,3.63,"['young-adult', 'dystopia', 'romance', 'science-fiction', 'teen']"
Long Price Quartet,https://www.goodreads.com/book/show/208.A_Shadow_in_Summer,Daniel Abraham,3.62,"['epic-fantasy', 'high-fantasy', 'science-fiction-fantasy', 'steampunk', 'science-fiction']"
Descendant of the Crane ,https://www.goodreads.com/book/show/58578700-descendant-of-the-crane,Joan He,3.62,"['young-adult', 'young-adult-fantasy', 'mystery', 'historical-fiction', 'high-fantasy']"
Kraken ,https://www.goodreads.com/book/show/6931246-kraken,China MiĂ©ville,3.61,"['urban-fantasy', 'science-fiction', 'horror', 'mystery', 'weird-fiction']"
The Immortals,https://www.goodreads.com/book/show/3975774-evermore,Alyson Noel,3.59,"['young-adult', 'paranormal', 'romance', 'paranormal-romance', 'supernatural']"
All the Birds in the Sky,https://www.goodreads.com/book/show/25372801-all-the-birds-in-the-sky,Charlie Jane Anders,3.59,"['science-fiction', 'magical-realism', 'magic', 'urban-fantasy', 'science-fiction-fantasy']"
Gulliver's Travels: Travels into Several Remote Nations of the World. ,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels,Jonathan Swift,3.58,"['classics', 'adventure', 'literature', 'novels', '18th-century']"
The Hazel Wood,https://www.goodreads.com/book/show/34275232-the-hazel-wood,Melissa Albert,3.57,"['young-adult', 'young-adult-fantasy', 'fairy-tales', 'mystery']"
The Star-Touched Queen,https://www.goodreads.com/book/show/25203675-the-star-touched-queen,Roshani Chokshi,3.56,"['young-adult', 'romance', 'mythology', 'young-adult-fantasy', 'retellings']"
The Buried Giant ,https://www.goodreads.com/book/show/22522805-the-buried-giant,Kazuo Ishiguro,3.56,"['historical-fiction', 'literary-fiction', 'magical-realism', 'novels', 'historical']"
Something Dark and Holy,https://www.goodreads.com/book/show/36118682-wicked-saints,Emily A. Duncan,3.56,"['young-adult', 'young-adult-fantasy', 'romance', 'magic', 'high-fantasy']"
The Wolf and the Woodsman ,https://www.goodreads.com/book/show/48915408-the-wolf-and-the-woodsman,Ava Reid,3.55,"['romance', 'adult', 'historical-fiction', 'mythology', 'retellings']"
Confessions of an Ugly Stepsister ,https://www.goodreads.com/book/show/18943.Confessions_of_an_Ugly_Stepsister,Gregory Maguire,3.54,"['fairy-tales', 'historical-fiction', 'retellings', 'adult', 'historical']"
The Wicked Years,https://www.goodreads.com/book/show/37442.Wicked,Gregory Maguire,3.54,"['adult', 'retellings', 'science-fiction-fantasy', 'adult-fiction', 'witches']"
Book of Night,https://www.goodreads.com/book/show/58293924-book-of-night,Holly Black,3.54,"['urban-fantasy', 'adult', 'paranormal', 'mystery', 'magic']"
Wintersong,https://www.goodreads.com/book/show/24763621-wintersong,S. Jae-Jones,3.53,"['young-adult', 'romance', 'retellings', 'young-adult-fantasy', 'new-adult']"
The Ex Hex,https://www.goodreads.com/book/show/56554626-the-ex-hex,Erin Sterling,3.52,"['romance', 'paranormal', 'contemporary', 'witches', 'adult']"
Soldier Son,https://www.goodreads.com/book/show/45110.Shaman_s_Crossing,Robin Hobb,3.5,"['epic-fantasy', 'science-fiction-fantasy', 'high-fantasy', 'magic', 'adventure']"
Glamourist Histories,https://www.goodreads.com/book/show/8697507-shades-of-milk-and-honey,Mary Robinette Kowal,3.49,"['romance', 'historical-fiction', 'historical', 'regency', 'historical-fantasy']"
Beowulf ,https://www.goodreads.com/book/show/52357.Beowulf,Unknown,3.47,"['classics', 'poetry', 'mythology', 'school', 'literature']"
The Dark Star Trilogy,https://www.goodreads.com/book/show/50608676-black-leopard-red-wolf,Marlon James,3.44,"['adult', 'mythology', 'africa', 'lgbt', 'science-fiction-fantasy']"
